job_title,company_name,location,skill_required,salary
Electrician,Amazon,London,Wiring,33418
Welder,Pfizer,Singapore,Arc Welding,66879
Writer,HSBC,Bangalore,Creative Writing,41748
Legal Advisor,KPMG,Bangalore,Contract Drafting,74875
Radiologist,Deloitte,San Francisco,Imaging,174327
Software Engineer,McDonald's,Dubai,Python,61132
Cloud Engineer,Google,Delhi,AWS,131055
Writer,BMW,Dubai,Creative Writing,50793
Welder,KPMG,Delhi,Arc Welding,51251
Video Editor,JPMorgan,Bangalore,Premiere Pro,64964
Cybersecurity Analyst,Tesla,Los Angeles,Network Security,116416
Cloud Engineer,HSBC,New York,AWS,95585
Accountant,Microsoft,Chicago,Bookkeeping,81512
Compliance Officer,Wipro,London,Regulation,72361
Cybersecurity Analyst,Sony,Chicago,Network Security,134064
Software Engineer,Tesla,Berlin,Python,128369
Project Manager,HSBC,London,Agile,125756
Radiologist,Google,Bangalore,Imaging,248702
Mechanic,Tesla,Dubai,Engine Repair,58980
Project Manager,Deloitte,Delhi,Agile,85220
Graphic Designer,JPMorgan,Bangalore,Photoshop,40675
Project Manager,KPMG,Los Angeles,Agile,126588
Construction Worker,EY,Paris,Masonry,21597
Doctor,Coca Cola,Los Angeles,Surgery,286259
Financial Analyst,Pfizer,Dubai,Excel Modeling,58854
Call Center Agent,Wipro,Sydney,Customer Handling,34224
Cybersecurity Analyst,Meta,Dubai,Network Security,93536
Animator,Apple,London,3D Animation,72747
Driver,Amazon,Tokyo,Driving,33556
Web Developer,HSBC,London,JavaScript,70874
Marketing Manager,EY,Bangalore,SEO,85861
Writer,BMW,Sydney,Creative Writing,49068
Compliance Officer,Pfizer,Bangalore,Regulation,67874
Financial Analyst,Microsoft,Toronto,Excel Modeling,57394
Pharmacist,Disney,Delhi,Pharmacology,64561
Librarian,Pfizer,Chicago,Cataloguing,40606
Cashier,EY,Bangalore,Billing,32585
Professor,Amazon,New York,Research,143380
Animator,Wipro,London,3D Animation,74166
Cybersecurity Analyst,Apple,Berlin,Network Security,118778
Cloud Engineer,Sony,Bangalore,AWS,160220
Electrician,Wipro,Sydney,Wiring,44193
Receptionist,Amazon,Delhi,Front Desk,26991
Legal Advisor,Sony,Los Angeles,Contract Drafting,61582
Sales Manager,Tesla,Toronto,Negotiation,121786
Nurse,Amazon,Los Angeles,Patient Care,88366
Accountant,Google,Toronto,Bookkeeping,40951
Librarian,Google,London,Cataloguing,30045
Tax Consultant,Tesla,Paris,Tax Filing,74444
Marketing Manager,Disney,Los Angeles,SEO,100716
Carpenter,Tesla,Delhi,Woodworking,37437
Cybersecurity Analyst,McDonald's,London,Network Security,74934
Nurse,BMW,New York,Patient Care,53121
Construction Worker,Pfizer,Toronto,Masonry,59002
Waiter,BMW,Chicago,Hospitality,33681
Researcher,Wipro,Chicago,Data Analysis,54214
Carpenter,Tesla,Berlin,Woodworking,64020
Professor,Wipro,Bangalore,Research,60271
Tax Consultant,Google,New York,Tax Filing,69248
Radiologist,Accenture,Singapore,Imaging,235743
Marketing Manager,BMW,Chicago,SEO,119024
Waiter,Amazon,Berlin,Hospitality,21096
Teacher,Meta,Dubai,Classroom Management,69182
Animator,Sony,Los Angeles,3D Animation,71550
Waiter,Google,Tokyo,Hospitality,39718
Tax Consultant,EY,Tokyo,Tax Filing,72152
Nurse,Microsoft,Los Angeles,Patient Care,44716
Operations Manager,Accenture,New York,Process Optimization,130529
Cashier,Infosys,Toronto,Billing,39217
Tax Consultant,Disney,New York,Tax Filing,73228
Chef,McDonald's,Delhi,Culinary Arts,75768
Farmer,HSBC,Delhi,Crop Management,45164
Lawyer,Deloitte,Tokyo,Litigation,110934
Professor,Accenture,Delhi,Research,138374
Cashier,Microsoft,Los Angeles,Billing,49779
Cashier,Sony,San Francisco,Billing,41861
Animator,HSBC,Bangalore,3D Animation,67720
Carpenter,Infosys,New York,Woodworking,43174
Operations Manager,Google,Los Angeles,Process Optimization,129193
Cashier,Wipro,Singapore,Billing,22388
Animator,Wipro,Singapore,3D Animation,76588
Construction Worker,Wipro,Sydney,Masonry,59420
Farmer,Sony,Toronto,Crop Management,28984
Driver,Tesla,San Francisco,Driving,39566
Data Scientist,Infosys,Los Angeles,Machine Learning,108271
Farmer,Deloitte,Sydney,Crop Management,46675
Driver,McDonald's,Paris,Driving,53507
Investment Banker,Infosys,London,Valuation,108683
Construction Worker,KPMG,Bangalore,Masonry,49312
Tax Consultant,Sony,Delhi,Tax Filing,89464
Chef,Tesla,Tokyo,Culinary Arts,85662
Cashier,Apple,San Francisco,Billing,32545
Project Manager,Infosys,Paris,Agile,102101
Writer,Google,New York,Creative Writing,67318
Cashier,Microsoft,Bangalore,Billing,41213
Tutor,JPMorgan,Toronto,Mentoring,32100
Plumber,Infosys,New York,Pipe Fitting,77239
Librarian,Disney,Chicago,Cataloguing,49856
Receptionist,JPMorgan,Dubai,Front Desk,32257
Farmer,Deloitte,Chicago,Crop Management,33758
Accountant,HSBC,Berlin,Bookkeeping,96534
Operations Manager,Microsoft,San Francisco,Process Optimization,144432
Plumber,Coca Cola,Berlin,Pipe Fitting,32819
Chef,EY,Berlin,Culinary Arts,53443
Investment Banker,Amazon,New York,Valuation,125002
Doctor,JPMorgan,Dubai,Surgery,158545
Judge,McDonald's,New York,Judicial Review,156742
Operations Manager,HSBC,Singapore,Process Optimization,146388
Data Scientist,Amazon,London,Machine Learning,73906
Legal Advisor,Google,San Francisco,Contract Drafting,112539
Waiter,KPMG,Singapore,Hospitality,30437
Investment Banker,Google,Toronto,Valuation,124836
Operations Manager,Apple,San Francisco,Process Optimization,149830
Psychologist,KPMG,Delhi,Counseling,98950
Librarian,Wipro,New York,Cataloguing,45154
Researcher,BMW,Delhi,Data Analysis,73883
Librarian,Microsoft,Paris,Cataloguing,58452
Construction Worker,Wipro,San Francisco,Masonry,25933
Writer,Microsoft,Singapore,Creative Writing,58797
Receptionist,Meta,Singapore,Front Desk,28756
Lawyer,Wipro,Dubai,Litigation,84327
Radiologist,Meta,San Francisco,Imaging,180268
Compliance Officer,Deloitte,Sydney,Regulation,88948
Cashier,Infosys,Los Angeles,Billing,28618
Radiologist,KPMG,Berlin,Imaging,172378
Legal Advisor,Infosys,Dubai,Contract Drafting,143294
Pilot,Wipro,Paris,Navigation,201057
Electrician,Infosys,Chicago,Wiring,39271
Driver,Wipro,Toronto,Driving,53104
Graphic Designer,Accenture,Singapore,Photoshop,44660
Support Specialist,Deloitte,London,Troubleshooting,51138
Cloud Engineer,Sony,New York,AWS,106275
Software Engineer,Apple,Berlin,Python,126706
Tax Consultant,JPMorgan,Paris,Tax Filing,44471
Driver,EY,London,Driving,35029
Receptionist,Deloitte,Berlin,Front Desk,36041
Farmer,Wipro,Chicago,Crop Management,36322
Tutor,Google,Chicago,Mentoring,21558
Carpenter,BMW,Dubai,Woodworking,31695
Construction Worker,Disney,Singapore,Masonry,34773
Professor,Wipro,New York,Research,143238
Chef,Coca Cola,San Francisco,Culinary Arts,74004
Tutor,McDonald's,Bangalore,Mentoring,24873
Mechanic,HSBC,London,Engine Repair,63350
Researcher,Pfizer,Bangalore,Data Analysis,91470
Compliance Officer,Sony,Tokyo,Regulation,82118
Teacher,BMW,Sydney,Classroom Management,31494
Compliance Officer,Tesla,Dubai,Regulation,97135
Librarian,Deloitte,Bangalore,Cataloguing,42562
Teacher,McDonald's,Berlin,Classroom Management,61474
Software Engineer,McDonald's,San Francisco,Python,70389
Driver,KPMG,London,Driving,50226
Accountant,Microsoft,Berlin,Bookkeeping,82393
Sales Manager,Meta,Dubai,Negotiation,83421
Pharmacist,Tesla,Dubai,Pharmacology,80100
Investment Banker,Infosys,Toronto,Valuation,115411
Receptionist,Accenture,Paris,Front Desk,30215
Psychologist,McDonald's,Tokyo,Counseling,100538
Radiologist,Sony,Paris,Imaging,218753
Compliance Officer,BMW,Berlin,Regulation,99022
Compliance Officer,EY,San Francisco,Regulation,97751
Tutor,HSBC,Tokyo,Mentoring,42393
Tutor,BMW,Tokyo,Mentoring,50667
Writer,Accenture,Toronto,Creative Writing,60317
Project Manager,Infosys,Paris,Agile,128620
Cloud Engineer,Disney,New York,AWS,165487
Auditor,Sony,Singapore,Compliance,82348
Teacher,Infosys,Bangalore,Classroom Management,74613
Librarian,KPMG,London,Cataloguing,52369
Carpenter,JPMorgan,Los Angeles,Woodworking,41172
Compliance Officer,KPMG,Paris,Regulation,60498
Photographer,KPMG,San Francisco,Photography,64401
Tax Consultant,JPMorgan,Bangalore,Tax Filing,99319
Electrician,KPMG,Sydney,Wiring,45080
Cloud Engineer,Google,Bangalore,AWS,112183
Auditor,Deloitte,Singapore,Compliance,60787
Paralegal,HSBC,Berlin,Legal Research,67401
Carpenter,HSBC,Bangalore,Woodworking,51137
Project Manager,Pfizer,Tokyo,Agile,74576
Doctor,Meta,Chicago,Surgery,253993
Professor,Amazon,Paris,Research,86811
Farmer,BMW,London,Crop Management,28046
Waiter,Meta,Paris,Hospitality,24571
Pharmacist,Microsoft,Paris,Pharmacology,68909
Compliance Officer,Amazon,Sydney,Regulation,104713
Video Editor,Sony,Dubai,Premiere Pro,61893
Radiologist,Tesla,Berlin,Imaging,204049
HR Manager,McDonald's,Berlin,Recruitment,110771
Judge,Deloitte,San Francisco,Judicial Review,150045
Plumber,Tesla,Bangalore,Pipe Fitting,51798
Project Manager,Apple,Dubai,Agile,112334
Compliance Officer,Meta,Berlin,Regulation,98469
Welder,Sony,Bangalore,Arc Welding,65088
Driver,Coca Cola,Los Angeles,Driving,28923
Farmer,JPMorgan,London,Crop Management,37918
Researcher,Wipro,San Francisco,Data Analysis,88010
Cloud Engineer,BMW,Bangalore,AWS,138379
HR Manager,KPMG,Tokyo,Recruitment,88114
Electrician,KPMG,Tokyo,Wiring,62606
Legal Advisor,Disney,Chicago,Contract Drafting,92987
Data Scientist,Meta,Dubai,Machine Learning,72864
Financial Analyst,Tesla,New York,Excel Modeling,63957
Call Center Agent,Tesla,Dubai,Customer Handling,49841
Researcher,Accenture,Los Angeles,Data Analysis,108633
Support Specialist,KPMG,San Francisco,Troubleshooting,48595
Call Center Agent,HSBC,Tokyo,Customer Handling,22156
Animator,McDonald's,Bangalore,3D Animation,83619
Investment Banker,Apple,Delhi,Valuation,186894
HR Manager,Disney,Paris,Recruitment,98162
Judge,Deloitte,Tokyo,Judicial Review,151525
Paralegal,EY,Los Angeles,Legal Research,68394
Graphic Designer,Microsoft,London,Photoshop,66355
Welder,Deloitte,Chicago,Arc Welding,58165
Receptionist,Google,Chicago,Front Desk,55383
Driver,Deloitte,Bangalore,Driving,56671
Lawyer,Google,Los Angeles,Litigation,182788
Animator,Amazon,Chicago,3D Animation,65421
Writer,Accenture,Sydney,Creative Writing,61117
Teacher,Microsoft,Bangalore,Classroom Management,77107
Software Engineer,Google,Berlin,Python,139797
Paralegal,Google,San Francisco,Legal Research,58660
Librarian,Tesla,Toronto,Cataloguing,53422
Psychologist,Disney,Singapore,Counseling,110412
Auditor,Pfizer,New York,Compliance,76505
Call Center Agent,Coca Cola,Sydney,Customer Handling,48998
Psychologist,EY,Dubai,Counseling,99388
Doctor,Tesla,Chicago,Surgery,143569
Cloud Engineer,HSBC,Bangalore,AWS,131924
Cashier,Deloitte,Los Angeles,Billing,41230
Driver,Apple,San Francisco,Driving,54224
Project Manager,Pfizer,Los Angeles,Agile,126512
Accountant,Accenture,Tokyo,Bookkeeping,75949
Operations Manager,Coca Cola,San Francisco,Process Optimization,139546
Teacher,Disney,Chicago,Classroom Management,46697
Plumber,Disney,Los Angeles,Pipe Fitting,34374
Pilot,Infosys,Chicago,Navigation,167070
Mechanic,BMW,New York,Engine Repair,57310
Researcher,Sony,New York,Data Analysis,71381
Marketing Manager,EY,Paris,SEO,88931
Marketing Manager,Sony,Los Angeles,SEO,93628
Farmer,Google,Berlin,Crop Management,19385
Cloud Engineer,EY,Singapore,AWS,112307
Investment Banker,Pfizer,Tokyo,Valuation,162716
Paralegal,McDonald's,Chicago,Legal Research,57774
Radiologist,BMW,Dubai,Imaging,151571
Call Center Agent,Wipro,Paris,Customer Handling,41880
Lawyer,Apple,Dubai,Litigation,191907
Cybersecurity Analyst,Tesla,Dubai,Network Security,96638
Cybersecurity Analyst,Tesla,Sydney,Network Security,89956
Web Developer,Sony,Dubai,JavaScript,83927
Electrician,HSBC,Los Angeles,Wiring,62342
Auditor,HSBC,Los Angeles,Compliance,102837
Cloud Engineer,HSBC,San Francisco,AWS,140364
Driver,KPMG,Singapore,Driving,31537
Carpenter,EY,Singapore,Woodworking,65600
Web Developer,JPMorgan,Los Angeles,JavaScript,61271
Auditor,Sony,Chicago,Compliance,96554
Investment Banker,Deloitte,San Francisco,Valuation,108206
Electrician,Microsoft,London,Wiring,34243
Professor,Sony,Berlin,Research,88837
Graphic Designer,Meta,Dubai,Photoshop,48716
Nurse,McDonald's,Bangalore,Patient Care,65028
Legal Advisor,Google,Toronto,Contract Drafting,115848
Writer,Accenture,Chicago,Creative Writing,63128
Support Specialist,KPMG,Chicago,Troubleshooting,36636
Mechanic,Infosys,Delhi,Engine Repair,46343
Data Scientist,Amazon,Sydney,Machine Learning,100433
Cashier,Disney,San Francisco,Billing,44600
Doctor,EY,Bangalore,Surgery,245434
Tax Consultant,Wipro,San Francisco,Tax Filing,60573
Call Center Agent,Sony,Dubai,Customer Handling,21896
Farmer,Coca Cola,Dubai,Crop Management,36497
Librarian,JPMorgan,Berlin,Cataloguing,31979
Pilot,BMW,Sydney,Navigation,144295
Graphic Designer,Tesla,San Francisco,Photoshop,81609
Compliance Officer,Coca Cola,San Francisco,Regulation,83794
Teacher,KPMG,Los Angeles,Classroom Management,37936
Farmer,HSBC,Bangalore,Crop Management,47245
Farmer,Disney,San Francisco,Crop Management,19654
Lawyer,EY,Los Angeles,Litigation,192976
Animator,Coca Cola,Los Angeles,3D Animation,84822
Cloud Engineer,EY,Tokyo,AWS,99172
Web Developer,Pfizer,Delhi,JavaScript,62259
Construction Worker,KPMG,Sydney,Masonry,52499
Carpenter,Wipro,San Francisco,Woodworking,26930
Data Scientist,Sony,Dubai,Machine Learning,114886
Researcher,Accenture,San Francisco,Data Analysis,58154
Psychologist,EY,San Francisco,Counseling,128413
Doctor,HSBC,Dubai,Surgery,245414
Cybersecurity Analyst,Coca Cola,Chicago,Network Security,96008
Cybersecurity Analyst,Meta,Tokyo,Network Security,78873
Software Engineer,HSBC,Dubai,Python,130406
Cashier,Sony,Delhi,Billing,29189
Radiologist,Apple,Singapore,Imaging,197361
Project Manager,Meta,Chicago,Agile,122877
Nurse,KPMG,Dubai,Patient Care,58434
Animator,EY,Los Angeles,3D Animation,52942
Librarian,KPMG,Dubai,Cataloguing,33370
Nurse,Coca Cola,Berlin,Patient Care,58353
Pharmacist,Microsoft,Bangalore,Pharmacology,77583
Nurse,KPMG,Delhi,Patient Care,84868
Software Engineer,Disney,Chicago,Python,103547
Web Developer,Pfizer,Tokyo,JavaScript,50680
Legal Advisor,Wipro,Singapore,Contract Drafting,101055
Compliance Officer,Apple,Sydney,Regulation,106458
Writer,Coca Cola,Paris,Creative Writing,65680
Auditor,Apple,Los Angeles,Compliance,94069
Welder,Accenture,Paris,Arc Welding,57619
Web Developer,KPMG,Tokyo,JavaScript,86888
Librarian,BMW,Paris,Cataloguing,48657
Construction Worker,HSBC,Sydney,Masonry,51607
HR Manager,Apple,Dubai,Recruitment,101556
Writer,EY,Tokyo,Creative Writing,63330
Financial Analyst,EY,Chicago,Excel Modeling,102685
Psychologist,BMW,Delhi,Counseling,74910
Psychologist,BMW,New York,Counseling,84587
Paralegal,McDonald's,Bangalore,Legal Research,69511
Teacher,HSBC,Los Angeles,Classroom Management,55438
Professor,Disney,Bangalore,Research,132369
Accountant,Amazon,Dubai,Bookkeeping,66595
Teacher,Apple,Bangalore,Classroom Management,32434
Sales Manager,BMW,Singapore,Negotiation,109947
Lawyer,BMW,Bangalore,Litigation,107305
Tax Consultant,Tesla,Paris,Tax Filing,83203
Marketing Manager,EY,New York,SEO,92851
Waiter,McDonald's,Sydney,Hospitality,28888
Welder,McDonald's,London,Arc Welding,64651
Nurse,McDonald's,Sydney,Patient Care,79819
Financial Analyst,Disney,San Francisco,Excel Modeling,69103
Operations Manager,Accenture,Sydney,Process Optimization,114461
Teacher,Apple,Tokyo,Classroom Management,53398
Video Editor,BMW,London,Premiere Pro,82896
Video Editor,Microsoft,Sydney,Premiere Pro,50598
Data Scientist,EY,Dubai,Machine Learning,88990
Project Manager,Disney,Tokyo,Agile,98770
Receptionist,Meta,New York,Front Desk,48148
Receptionist,KPMG,Bangalore,Front Desk,51202
Marketing Manager,Disney,Singapore,SEO,90645
Professor,JPMorgan,Los Angeles,Research,100266
Judge,Wipro,Bangalore,Judicial Review,232879
Cybersecurity Analyst,Coca Cola,Paris,Network Security,80718
Chef,Deloitte,Singapore,Culinary Arts,53880
Project Manager,Infosys,Singapore,Agile,107954
Data Scientist,EY,Paris,Machine Learning,144670
Driver,Disney,Los Angeles,Driving,43793
Judge,Wipro,Dubai,Judicial Review,206410
Investment Banker,HSBC,New York,Valuation,103517
Tax Consultant,Pfizer,San Francisco,Tax Filing,42419
Financial Analyst,Sony,Bangalore,Excel Modeling,74124
Sales Manager,Amazon,Delhi,Negotiation,122307
Compliance Officer,Google,Singapore,Regulation,103264
Data Scientist,McDonald's,Delhi,Machine Learning,100167
Teacher,Accenture,Dubai,Classroom Management,61597
Teacher,Sony,Sydney,Classroom Management,57666
Paralegal,Infosys,Berlin,Legal Research,46479
Software Engineer,Deloitte,Delhi,Python,139781
Software Engineer,JPMorgan,Singapore,Python,67269
Teacher,Wipro,New York,Classroom Management,50432
Marketing Manager,BMW,Berlin,SEO,75287
Cloud Engineer,BMW,Chicago,AWS,93130
Plumber,EY,New York,Pipe Fitting,79733
Nurse,Disney,Los Angeles,Patient Care,82828
Driver,Infosys,London,Driving,33188
Chef,KPMG,Paris,Culinary Arts,66302
Chef,Google,Tokyo,Culinary Arts,66976
Carpenter,McDonald's,New York,Woodworking,31238
HR Manager,McDonald's,Sydney,Recruitment,66959
Pharmacist,HSBC,Sydney,Pharmacology,115936
Researcher,McDonald's,New York,Data Analysis,97872
Accountant,Infosys,Chicago,Bookkeeping,51838
Nurse,EY,Tokyo,Patient Care,69114
Nurse,Google,Paris,Patient Care,67798
Web Developer,JPMorgan,New York,JavaScript,90118
Electrician,McDonald's,Toronto,Wiring,57108
Professor,Pfizer,Berlin,Research,105140
Librarian,Wipro,New York,Cataloguing,67571
Graphic Designer,Sony,New York,Photoshop,88764
Call Center Agent,Pfizer,Paris,Customer Handling,35828
Farmer,Sony,Delhi,Crop Management,32974
HR Manager,KPMG,Los Angeles,Recruitment,102445
Construction Worker,Amazon,San Francisco,Masonry,54543
Video Editor,Pfizer,New York,Premiere Pro,41941
Radiologist,Deloitte,Dubai,Imaging,236024
Marketing Manager,KPMG,Sydney,SEO,65687
Project Manager,BMW,Singapore,Agile,132457
Radiologist,Sony,Delhi,Imaging,218743
Cybersecurity Analyst,Infosys,San Francisco,Network Security,81947
Electrician,HSBC,Bangalore,Wiring,61266
Psychologist,Wipro,Sydney,Counseling,70776
Pilot,Disney,Singapore,Navigation,168781
Psychologist,Disney,London,Counseling,73710
Operations Manager,Microsoft,Dubai,Process Optimization,72517
Graphic Designer,Apple,Chicago,Photoshop,45887
HR Manager,Google,Singapore,Recruitment,67857
Lawyer,BMW,Toronto,Litigation,194331
Electrician,Microsoft,Sydney,Wiring,54303
Paralegal,HSBC,Tokyo,Legal Research,37987
Librarian,Microsoft,Dubai,Cataloguing,30101
Electrician,BMW,Los Angeles,Wiring,36785
Chef,Google,London,Culinary Arts,66529
Call Center Agent,Deloitte,San Francisco,Customer Handling,21865
Software Engineer,McDonald's,Toronto,Python,120427
Carpenter,Wipro,Dubai,Woodworking,32828
Graphic Designer,Disney,Paris,Photoshop,47178
Operations Manager,Sony,Toronto,Process Optimization,147192
Animator,Pfizer,New York,3D Animation,68980
Teacher,Accenture,London,Classroom Management,79076
Radiologist,BMW,Delhi,Imaging,219572
Writer,Coca Cola,Dubai,Creative Writing,43849
Support Specialist,Sony,Toronto,Troubleshooting,62183
Lawyer,Deloitte,Paris,Litigation,110036
Pharmacist,Accenture,New York,Pharmacology,83236
Lawyer,BMW,Chicago,Litigation,135203
Tutor,Coca Cola,Toronto,Mentoring,59998
Legal Advisor,Microsoft,Los Angeles,Contract Drafting,87770
Nurse,Microsoft,Chicago,Patient Care,66012
Cybersecurity Analyst,Disney,Sydney,Network Security,123196
Welder,Meta,Los Angeles,Arc Welding,31720
Graphic Designer,Coca Cola,Sydney,Photoshop,66844
Operations Manager,Coca Cola,Singapore,Process Optimization,78923
Chef,Disney,Los Angeles,Culinary Arts,61856
Welder,Infosys,New York,Arc Welding,65685
Nurse,Disney,Los Angeles,Patient Care,88059
Call Center Agent,Meta,Chicago,Customer Handling,23792
Cybersecurity Analyst,Meta,Berlin,Network Security,98016
Legal Advisor,Google,Toronto,Contract Drafting,142576
Chef,Sony,Toronto,Culinary Arts,51437
Pilot,Apple,Delhi,Navigation,241214
Compliance Officer,Deloitte,Toronto,Regulation,87495
Cashier,Deloitte,Delhi,Billing,25597
Driver,Pfizer,Sydney,Driving,55391
Legal Advisor,Sony,Toronto,Contract Drafting,121918
HR Manager,Disney,Delhi,Recruitment,73919
Cloud Engineer,Tesla,London,AWS,137475
Data Scientist,Google,Singapore,Machine Learning,73512
Writer,Tesla,San Francisco,Creative Writing,54581
Electrician,Amazon,Delhi,Wiring,49378
Driver,Infosys,Chicago,Driving,48789
Professor,Microsoft,London,Research,66674
Marketing Manager,Wipro,Tokyo,SEO,82793
Pilot,Pfizer,Sydney,Navigation,204707
Farmer,Disney,London,Crop Management,42847
Tax Consultant,Sony,Los Angeles,Tax Filing,65034
Teacher,Accenture,Singapore,Classroom Management,31618
Driver,Infosys,Delhi,Driving,49139
Auditor,Meta,Tokyo,Compliance,55671
Writer,Sony,Sydney,Creative Writing,36480
Auditor,Amazon,Tokyo,Compliance,64754
Doctor,Pfizer,San Francisco,Surgery,208080
Investment Banker,Sony,Sydney,Valuation,106528
Farmer,Google,London,Crop Management,33692
Mechanic,Amazon,London,Engine Repair,39191
Support Specialist,Microsoft,Toronto,Troubleshooting,44726
Construction Worker,JPMorgan,Bangalore,Masonry,36038
Lawyer,Tesla,Chicago,Litigation,142650
Chef,Wipro,San Francisco,Culinary Arts,63967
Radiologist,Meta,Chicago,Imaging,198544
Psychologist,BMW,Chicago,Counseling,102190
Construction Worker,Pfizer,Los Angeles,Masonry,34528
Video Editor,McDonald's,Toronto,Premiere Pro,69835
Radiologist,Amazon,Berlin,Imaging,249431
Receptionist,JPMorgan,Tokyo,Front Desk,59056
Electrician,Apple,Bangalore,Wiring,78253
Data Scientist,JPMorgan,Toronto,Machine Learning,90375
Receptionist,BMW,Singapore,Front Desk,27377
Software Engineer,Microsoft,London,Python,141356
Cybersecurity Analyst,Sony,Paris,Network Security,109953
Compliance Officer,Meta,New York,Regulation,115776
Project Manager,JPMorgan,London,Agile,120107
Writer,Disney,Toronto,Creative Writing,54192
Driver,Pfizer,Berlin,Driving,31468
Carpenter,Infosys,Delhi,Woodworking,54637
Lawyer,Infosys,Paris,Litigation,187131
Data Scientist,EY,Toronto,Machine Learning,112813
Photographer,EY,Bangalore,Photography,35923
Waiter,Pfizer,Chicago,Hospitality,25961
Support Specialist,Deloitte,Tokyo,Troubleshooting,35224
Legal Advisor,Deloitte,Sydney,Contract Drafting,96826
Paralegal,Infosys,Chicago,Legal Research,37875
Web Developer,KPMG,Dubai,JavaScript,102342
Data Scientist,KPMG,Sydney,Machine Learning,133598
Animator,Disney,Singapore,3D Animation,63011
Legal Advisor,Meta,Delhi,Contract Drafting,113089
Plumber,Microsoft,San Francisco,Pipe Fitting,49356
Chef,Amazon,Dubai,Culinary Arts,88085
Mechanic,Apple,Sydney,Engine Repair,35604
HR Manager,Microsoft,Toronto,Recruitment,63195
Financial Analyst,Google,Tokyo,Excel Modeling,74359
Software Engineer,Pfizer,New York,Python,117994
Animator,Sony,Sydney,3D Animation,88540
Data Scientist,Meta,Singapore,Machine Learning,91815
Compliance Officer,Coca Cola,Chicago,Regulation,75703
Teacher,EY,Paris,Classroom Management,64995
Mechanic,Deloitte,Dubai,Engine Repair,57698
Photographer,Apple,Berlin,Photography,49197
Operations Manager,Sony,Toronto,Process Optimization,76252
Graphic Designer,JPMorgan,Paris,Photoshop,84786
Construction Worker,Microsoft,Bangalore,Masonry,32629
Support Specialist,HSBC,Berlin,Troubleshooting,38967
Paralegal,Apple,Los Angeles,Legal Research,48772
Nurse,Pfizer,Sydney,Patient Care,65670
Pharmacist,Infosys,Sydney,Pharmacology,66269
Cloud Engineer,EY,Bangalore,AWS,100682
Video Editor,JPMorgan,Singapore,Premiere Pro,80454
Farmer,EY,San Francisco,Crop Management,48272
Legal Advisor,Tesla,New York,Contract Drafting,107249
Pilot,Coca Cola,Chicago,Navigation,161073
Construction Worker,Infosys,Sydney,Masonry,48766
Writer,Tesla,Paris,Creative Writing,68911
Paralegal,JPMorgan,New York,Legal Research,69092
Support Specialist,Meta,Bangalore,Troubleshooting,53710
Librarian,Pfizer,Sydney,Cataloguing,63341
Writer,Accenture,London,Creative Writing,32764
Sales Manager,HSBC,Singapore,Negotiation,121453
Farmer,BMW,Tokyo,Crop Management,35703
Accountant,Apple,Singapore,Bookkeeping,51956
Accountant,Microsoft,London,Bookkeeping,88530
Teacher,KPMG,Chicago,Classroom Management,65039
Nurse,Apple,Singapore,Patient Care,65259
Software Engineer,Infosys,Toronto,Python,102120
Cloud Engineer,Sony,New York,AWS,125179
Project Manager,KPMG,Bangalore,Agile,110212
Teacher,Meta,San Francisco,Classroom Management,46829
Nurse,Coca Cola,Singapore,Patient Care,83031
Investment Banker,EY,Bangalore,Valuation,188903
Welder,KPMG,Tokyo,Arc Welding,26500
Welder,Disney,Berlin,Arc Welding,38535
Farmer,Coca Cola,Tokyo,Crop Management,38144
Call Center Agent,Deloitte,Delhi,Customer Handling,28237
Mechanic,JPMorgan,Singapore,Engine Repair,51348
Data Scientist,Amazon,Chicago,Machine Learning,84923
Investment Banker,Meta,Paris,Valuation,132183
Waiter,Infosys,San Francisco,Hospitality,29243
Professor,KPMG,Dubai,Research,97987
Graphic Designer,Infosys,San Francisco,Photoshop,74623
Investment Banker,Apple,Singapore,Valuation,109017
Welder,Amazon,Berlin,Arc Welding,51031
Operations Manager,Disney,London,Process Optimization,83752
Accountant,Infosys,London,Bookkeeping,91280
Support Specialist,Coca Cola,Chicago,Troubleshooting,41729
Mechanic,BMW,Bangalore,Engine Repair,61448
Video Editor,Wipro,London,Premiere Pro,54728
Writer,BMW,Bangalore,Creative Writing,64854
Cashier,Amazon,Berlin,Billing,31736
Data Scientist,Coca Cola,Delhi,Machine Learning,124059
Welder,McDonald's,Tokyo,Arc Welding,37327
Plumber,Disney,Toronto,Pipe Fitting,61845
Doctor,JPMorgan,Singapore,Surgery,103153
Animator,Google,Berlin,3D Animation,84047
Investment Banker,Accenture,Singapore,Valuation,108910
Support Specialist,Amazon,Chicago,Troubleshooting,64561
Librarian,Deloitte,Dubai,Cataloguing,33468
Electrician,Meta,Paris,Wiring,43040
Carpenter,Tesla,Singapore,Woodworking,51615
Sales Manager,Apple,Singapore,Negotiation,101844
Support Specialist,JPMorgan,Delhi,Troubleshooting,52314
Professor,McDonald's,Tokyo,Research,119514
Farmer,Google,Paris,Crop Management,30952
Mechanic,Tesla,Bangalore,Engine Repair,52188
Farmer,Accenture,Bangalore,Crop Management,40310
Pilot,Deloitte,Berlin,Navigation,157660
Data Scientist,Microsoft,Dubai,Machine Learning,142532
Project Manager,EY,San Francisco,Agile,101054
